iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,gdp_per_capita
COL,South America,Colombia,2020-05-07,185.839,9.768,7.999,0.197,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-07,1717.276,-89.724,93.748,2.04,17643060,66.939,10581.936
PER,South America,Peru,2020-05-07,1775.03,112.49,236.838,14.588,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-08,194.123,15.848,9.081,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-08,197.532,11.694,8.411,0.413,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-08,1633.39,-83.886,96.582,2.834,17643060,66.939,10581.936
PER,South America,Peru,2020-05-08,1875.752,100.722,250.608,13.769,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-09,208.772,14.649,9.766,0.685,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-09,206.258,8.726,8.746,0.334,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-09,1647.73,14.34,97.319,0.737,17643060,66.939,10581.936
PER,South America,Peru,2020-05-09,1971.834,96.082,265.075,14.467,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-10,218.966,10.194,10.109,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-10,217.421,11.163,9.099,0.354,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-10,1675.39,27.66,120.557,23.239,17643060,66.939,10581.936
PER,South America,Peru,2020-05-10,2041.348,69.514,280.785,15.71,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-11,242.525,23.559,10.451,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-11,228.23,10.809,9.414,0.314,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-11,1672.556,-2.834,121.578,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-05-11,2087.296,45.948,296.556,15.771,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-12,253.919,11.394,10.965,0.514,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-12,241.181,12.951,9.689,0.275,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-12,1724.134,51.578,131.893,10.316,17643060,66.939,10581.936
PER,South America,Peru,2020-05-12,2185.471,98.175,312.206,15.65,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-13,269.682,15.763,12.165,1.199,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-13,254.113,12.932,10.003,0.314,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-13,1727.932,3.798,132.29,0.397,17643060,66.939,10581.936
PER,South America,Peru,2020-05-13,2314.277,128.807,326.339,14.133,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-14,288.871,19.19,13.021,0.857,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-14,267.477,13.364,10.318,0.314,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-14,1728.838,0.907,132.517,0.227,17643060,66.939,10581.936
PER,South America,Peru,2020-05-14,2444.631,130.354,342.019,15.68,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-15,306.433,17.562,14.049,1.028,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-15,279.387,11.91,10.731,0.413,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-15,1783.534,54.696,147.027,14.51,17643060,66.939,10581.936
PER,South America,Peru,2020-05-15,2562.641,118.01,358.609,16.59,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-16,327.764,21.331,14.135,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-16,293.596,14.209,11.045,0.314,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-16,1856.991,73.457,152.355,5.328,17643060,66.939,10581.936
PER,South America,Peru,2020-05-16,2685.352,122.711,374.046,15.437,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-17,350.209,22.445,14.478,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-17,306.075,12.48,11.281,0.236,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-17,1880.74,23.749,155.075,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-05-17,2798.539,113.187,389.272,15.225,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-18,365.201,14.992,14.906,0.428,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-18,320.245,14.17,11.635,0.354,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-18,1903.411,22.672,158.646,3.571,17643060,66.939,10581.936
PER,South America,Peru,2020-05-18,2879.214,80.675,405.467,16.196,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-19,383.876,18.676,16.191,1.285,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-19,332.823,12.578,12.047,0.413,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-19,1935.662,32.251,160.913,2.267,17643060,66.939,10581.936
PER,South America,Peru,2020-05-19,3017.211,137.997,424.119,18.652,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-20,421.399,37.522,17.048,0.857,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-20,347.602,14.779,12.381,0.334,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-20,1975.508,39.846,163.69,2.777,17643060,66.939,10581.936
PER,South America,Peru,2020-05-20,3154.813,137.602,440.133,16.014,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-21,444.358,22.959,18.419,1.371,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-21,360.239,12.637,12.814,0.432,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-21,2001.127,25.619,166.581,2.891,17643060,66.939,10581.936
PER,South America,Peru,2020-05-21,3298.845,144.032,456.632,16.499,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-22,477.939,33.582,19.704,1.285,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-22,375.981,15.742,13.403,0.59,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-22,2030.713,29.587,173.213,6.632,17643060,66.939,10581.936
PER,South America,Peru,2020-05-22,3387.678,88.833,472.615,15.983,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-23,506.724,28.784,20.56,0.857,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-23,396.538,20.557,13.855,0.452,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-23,2055.086,24.372,175.48,2.267,17643060,66.939,10581.936
PER,South America,Peru,2020-05-23,3510.692,123.014,488.326,15.71,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-24,536.536,29.812,21.417,0.857,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-24,416.152,19.614,14.288,0.432,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-24,2083.312,28.226,176.16,0.68,17643060,66.939,10581.936
PER,South America,Peru,2020-05-24,3638.225,127.533,504.794,16.469,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-25,570.546,34.01,22.359,0.942,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-25,431.992,15.84,14.74,0.452,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-25,2117.263,33.951,181.544,5.385,17643060,66.939,10581.936
PER,South America,Peru,2020-05-25,3760.147,121.922,522.142,17.348,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-26,611.324,40.778,23.473,1.114,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-26,452.077,20.085,15.251,0.511,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-26,2117.263,0,181.544,0,17643060,66.939,10581.936
PER,South America,Peru,2020-05-26,3935.206,175.058,539.733,17.591,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-27,665.466,54.142,23.987,0.514,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-27,473.715,21.638,15.781,0.531,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-27,2159.659,42.396,185.625,4.081,17643060,66.939,10581.936
PER,South America,Peru,2020-05-27,4121.85,186.644,556.232,16.499,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-28,718.494,53.028,25.101,1.114,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-28,498.517,24.802,16.155,0.373,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-28,2180.517,20.858,187.779,2.154,17643060,66.939,10581.936
PER,South America,Peru,2020-05-28,4300.002,178.152,573.944,17.712,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-29,747.964,29.47,25.7,0.6,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-29,524.499,25.981,16.764,0.609,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-29,2186.185,5.668,188.969,1.19,17643060,66.939,10581.936
PER,South America,Peru,2020-05-29,4497.322,197.32,594.72,20.775,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-30,821.723,73.76,26.557,0.857,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-30,554.921,30.423,17.491,0.727,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-30,2186.185,0,188.969,0,17643060,66.939,10581.936
PER,South America,Peru,2020-05-30,4721.331,224.009,609.945,15.225,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-31,855.134,33.41,26.814,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-31,577.463,22.542,18.454,0.963,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-31,2216.055,29.87,190.33,1.36,17643060,66.939,10581.936
PER,South America,Peru,2020-05-31,4988.377,267.046,628.112,18.167,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-01,902.165,47.031,29.384,2.57,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-01,599.278,21.815,19.044,0.59,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-01,2216.055,0,190.33,0,17643060,66.939,10581.936
PER,South America,Peru,2020-06-01,5157.097,168.72,645.338,17.227,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-02,941.572,39.407,32.211,2.827,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-02,625.613,26.335,19.83,0.786,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-02,2290.646,74.59,194.864,4.534,17643060,66.939,10581.936
PER,South America,Peru,2020-06-02,5403.549,246.453,665.356,20.017,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-03,996.999,55.427,34.267,2.056,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-03,655.505,29.892,20.537,0.708,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-03,2321.933,31.287,197.585,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-06-03,5426.266,22.716,681.672,16.317,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-04,1048.999,52,35.552,1.285,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-04,690.212,34.707,21.363,0.825,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-04,2321.933,0,197.585,0,17643060,66.939,10581.936
PER,South America,Peru,2020-06-04,5556.195,129.929,698.323,16.651,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-05,1090.377,41.377,36.58,1.028,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-05,719.987,29.774,22.503,1.14,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-05,2356.451,34.518,200.305,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-06-05,5683.637,127.442,716.975,18.652,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-06,1144.347,53.971,38.893,2.313,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-06,747.344,27.357,23.682,1.179,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-06,2421.802,65.351,204.5,4.194,17643060,66.939,10581.936
PER,South America,Peru,2020-06-06,5815.81,132.173,734.718,17.742,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-07,1168.763,24.415,39.835,0.942,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-07,771.104,23.76,24.743,1.061,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-07,2444.02,22.218,205.237,0.737,17643060,66.939,10581.936
PER,South America,Peru,2020-06-07,5960.085,144.275,753.188,18.47,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-08,1194.977,26.214,40.692,0.857,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-08,800.249,29.145,25.706,0.963,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-08,2458.644,14.623,206.427,1.19,17643060,66.939,10581.936
PER,South America,Peru,2020-06-08,6056.561,96.476,770.415,17.227,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-09,1254.516,59.539,41.72,1.028,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-09,826.958,26.708,26.964,1.258,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-09,2489.194,30.55,209.147,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-06-09,6179.09,122.529,789.006,18.592,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-10,1309.086,54.57,43.862,2.142,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-10,858.481,31.523,28.163,1.199,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-10,2518.837,29.643,210.848,1.7,17643060,66.939,10581.936
PER,South America,Peru,2020-06-10,6333.373,154.283,807.052,18.046,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-11,1384.816,75.73,45.661,1.799,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-11,888.55,30.069,29.244,1.081,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-11,2518.837,0,210.848,0,17643060,66.939,10581.936
PER,South America,Peru,2020-06-11,6514.285,180.912,825.704,18.652,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-12,1450.266,65.45,47.888,2.227,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-12,920.899,32.349,30.364,1.12,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-12,2594.675,75.837,216.969,6.121,17643060,66.939,10581.936
PER,South America,Peru,2020-06-12,6514.285,0,843.902,18.197,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-13,1528.481,78.214,50.116,2.227,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-13,958.004,37.105,31.288,0.924,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-13,2627.435,32.761,219.576,2.607,17643060,66.939,10581.936
PER,South America,Peru,2020-06-13,6695.076,180.791,860.916,17.015,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-14,1581.338,52.857,52.343,2.227,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-14,1001.103,43.099,32.762,1.474,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-14,2649.824,22.388,220.823,1.247,17643060,66.939,10581.936
PER,South America,Peru,2020-06-14,6967.641,272.566,879.842,18.925,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-15,1633.938,52.6,54.142,1.799,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-15,1042.846,41.743,33.921,1.16,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-15,2682.188,32.364,222.694,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-06-15,7066.392,98.751,897.827,17.985,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-16,1703.328,69.391,56.455,2.313,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-16,1079.558,36.712,35.395,1.474,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-16,2717.386,35.198,225.018,2.324,17643060,66.939,10581.936
PER,South America,Peru,2020-06-16,7192.682,126.29,916.843,19.016,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-17,1772.034,68.705,58.168,1.713,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-17,1121.124,41.566,36.633,1.238,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-17,2748.389,31.004,227.115,2.097,17643060,66.939,10581.936
PER,South America,Peru,2020-06-17,7306.476,113.794,935.343,18.501,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-18,1841.767,69.733,59.71,1.542,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-18,1183.443,62.32,38.323,1.69,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-18,2782.794,34.404,231.649,4.534,17643060,66.939,10581.936
PER,South America,Peru,2020-06-18,7412.021,105.545,953.632,18.288,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-19,1925.464,83.697,61.252,1.542,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-19,1243.562,60.118,40.19,1.867,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-19,2818.729,35.935,235.56,3.911,17643060,66.939,10581.936
PER,South America,Peru,2020-06-19,7519.294,107.273,969.372,15.741,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-20,2014.216,88.752,63.394,2.142,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-20,1289.884,46.322,41.782,1.592,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-20,2818.729,0,235.56,0,17643060,66.939,10581.936
PER,South America,Peru,2020-06-20,7622.806,103.513,987.934,18.561,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-21,2089.261,75.045,66.221,2.827,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-21,1349.216,59.332,43.964,2.181,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-21,2870.25,51.522,239.358,3.798,17643060,66.939,10581.936
PER,South America,Peru,2020-06-21,7731.93,109.123,1011.166,23.232,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-22,2183.923,94.663,70.247,4.026,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-22,1398.958,49.742,45.398,1.435,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-22,2870.25,0,239.358,0,17643060,66.939,10581.936
PER,South America,Peru,2020-06-22,7808.086,76.156,1021.902,10.736,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-23,2260.681,76.758,72.475,2.227,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-23,1445.909,46.951,47.246,1.847,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-23,2927.1,56.85,242.248,2.891,17643060,66.939,10581.936
PER,South America,Peru,2020-06-23,7910.082,101.996,1038.189,16.287,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-24,2354.744,94.063,75.045,2.57,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-24,1515.5,69.591,48.956,1.71,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-24,2927.1,0,242.248,0,17643060,66.939,10581.936
PER,South America,Peru,2020-06-24,8027.728,117.646,1054.809,16.62,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-25,2441.783,87.038,78.214,3.17,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-25,1584.01,68.51,52.159,3.203,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-25,3012.856,85.756,246.159,3.911,17643060,66.939,10581.936
PER,South America,Peru,2020-06-25,8146.405,118.677,1070.58,15.771,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-26,2520.597,78.814,80.014,1.799,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-26,1659.536,75.526,55.245,3.086,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-26,3052.532,39.676,249.73,3.571,17643060,66.939,10581.936
PER,South America,Peru,2020-06-26,8260.502,114.097,1086.199,15.619,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-27,2627.938,107.341,83.098,3.084,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-27,1741.077,81.54,57.76,2.516,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-27,3093.228,40.696,250.75,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-06-27,8370.444,109.942,1102.061,15.862,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-28,2700.584,72.646,86.867,3.769,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-28,1803.534,62.457,62.457,4.697,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-28,3131.826,38.599,251.034,0.283,17643060,66.939,10581.936
PER,South America,Peru,2020-06-28,8474.472,104.028,1118.227,16.165,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-29,2752.071,51.486,91.75,4.883,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-29,1867.878,64.344,64.344,1.887,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-29,3155.065,23.239,255.171,4.138,17643060,66.939,10581.936
PER,South America,Peru,2020-06-29,8563.821,89.349,1134.453,16.226,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-06-30,2845.791,93.72,96.205,4.455,11673029,10.202,6885.829
COL,South America,Colombia,2020-06-30,1922.965,55.087,65.523,1.179,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-06-30,3198.538,43.473,256.588,1.417,17643060,66.939,10581.936
PER,South America,Peru,2020-06-30,8650.198,86.377,1149.405,14.952,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-01,2932.144,86.353,102.887,6.682,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-01,2004.78,81.815,68.196,2.673,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-01,3301.978,103.44,259.365,2.777,17643060,66.939,10581.936
PER,South America,Peru,2020-07-01,8749.192,98.994,1166.116,16.711,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-02,3043.597,111.454,108.883,5.997,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-02,2085.377,80.597,71.556,3.361,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-02,3370.617,68.639,262.936,3.571,17643060,66.939,10581.936
PER,South America,Peru,2020-07-02,8856.162,106.97,1182.372,16.256,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-03,3154.109,110.511,113.081,4.198,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-03,2152.099,66.722,74.229,2.673,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-03,3438.009,67.392,266.394,3.457,17643060,66.939,10581.936
PER,South America,Peru,2020-07-03,8965.194,109.032,1198.993,16.62,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-04,3261.45,107.341,118.05,4.969,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-04,2228.431,76.332,77.472,3.243,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-04,3487.774,49.765,270.305,3.911,17643060,66.939,10581.936
PER,South America,Peru,2020-07-04,9070.769,105.575,1216.432,17.439,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-05,3366.478,105.028,122.847,4.797,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-05,2301.56,73.129,79.87,2.398,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-05,3511.749,23.975,270.985,0.68,17643060,66.939,10581.936
PER,South America,Peru,2020-07-05,9181.106,110.337,1232.112,15.68,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-06,3470.307,103.829,126.445,3.598,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-06,2363.879,62.32,82.739,2.869,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-06,3535.668,23.919,273.252,2.267,17643060,66.939,10581.936
PER,South America,Peru,2020-07-06,9271.637,90.532,1249.551,17.439,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-07,3559.059,88.752,131.071,4.626,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-07,2446.677,82.798,85.667,2.928,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-07,3584.696,49.028,276.199,2.947,17643060,66.939,10581.936
PER,South America,Peru,2020-07-07,9380.063,108.426,1266.414,16.863,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-08,3682.335,123.276,135.098,4.026,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-08,2528.119,81.442,88.969,3.302,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-08,3584.696,0,276.199,0,17643060,66.939,10581.936
PER,South America,Peru,2020-07-08,9490.248,110.185,1282.731,16.317,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-09,3779.053,96.719,140.323,5.226,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-09,2632.968,104.849,92.644,3.675,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-09,3640.015,55.319,277.73,1.53,17643060,66.939,10581.936
PER,South America,Peru,2020-07-09,9597.521,107.273,1299.836,17.106,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-10,3903.443,124.389,145.806,5.483,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-10,2766.667,133.699,96.791,4.147,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-10,3685.188,45.174,279.94,2.211,17643060,66.939,10581.936
PER,South America,Peru,2020-07-10,9694.513,96.992,1315.577,15.741,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-11,4043.509,140.066,150.261,4.455,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-11,2862.102,95.435,100.604,3.813,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-11,3809.373,124.185,285.155,5.215,17643060,66.939,10581.936
PER,South America,Peru,2020-07-11,9787.441,92.928,1333.016,17.439,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-12,4128.063,84.554,154.801,4.54,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-12,2956.692,94.59,104.298,3.695,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-12,3846.838,37.465,286.061,0.907,17643060,66.939,10581.936
PER,South America,Peru,2020-07-12,9897.11,109.669,1350.486,17.469,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-13,4219.128,91.065,159.856,5.054,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-13,3032.002,75.31,107.207,2.909,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-13,3880.223,33.384,286.968,0.907,17643060,66.939,10581.936
PER,South America,Peru,2020-07-13,10012.269,115.159,1368.258,17.773,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-14,4357.652,138.524,162.597,2.741,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-14,3142.471,110.469,110.548,3.341,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-14,3943.194,62.971,290.766,3.798,17643060,66.939,10581.936
PER,South America,Peru,2020-07-14,10125.821,113.551,1386.304,18.046,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-15,4473.389,115.737,166.366,3.769,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-15,3246.062,103.591,114.262,3.714,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-15,3986.213,43.02,292.353,1.587,17643060,66.939,10581.936
PER,South America,Peru,2020-07-15,10243.618,117.797,1404.228,17.924,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-16,4639.413,166.024,169.964,3.598,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-16,3404.013,157.951,118.488,4.225,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-16,4044.933,58.72,295.13,2.777,17643060,66.939,10581.936
PER,South America,Peru,2020-07-16,10359.929,116.311,1422.82,18.592,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-17,4806.122,166.709,175.533,5.568,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-17,3579.593,175.58,123.578,5.09,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-17,4106.09,61.157,297.567,2.437,17643060,66.939,10581.936
PER,South America,Peru,2020-07-17,10479.759,119.83,1439.774,16.954,32971846,25.129,12236.706
